Judul,Harga,Lokasi,Link
Apartemen Dijual di Dukuh Pakis,"Rp 1,27M","RW 02, Pradahkali Kendal, Dukuh Pakis, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-b401c4b7f590-c970-19e5438-9a52-7794
Apartemen Dijual di Bekasi,Rp 500Jt,"Bekasi, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-34a480a0254d-6975-19b1714-bdc9-7437
Apartemen Dijual di Cempaka Putih,Rp 900Jt,"RW 07, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-a1d35052d181-d34d-19ad9b3-b72e-776a
Apartemen Dijual di Semolowaru,Rp 175Jt,"RW 02, Semolowaru, Sukolilo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-f6a95ba004e1-fd30-19e540c-924f-803b
Apartemen Dijual di Grogol Petamburan,"Rp 1,60M","RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-6a5a24334f9c-1968-19d51fd-8a22-713f
Apartemen Dijual di Grogol Petamburan,"Rp 1,60M","RW 02, Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9b866d8615c7-3c40-19d5233-8fcc-7753
Apartemen Dijual di Grogol Petamburan,"Rp 3,80M","RW 02, Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-14002cc3b566-5df5-19d573a-9653-7785
Apartemen Dijual di Grogol Petamburan,"Rp 2,30M","RW 02, Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-fa9f170a0a61-df11-19d5719-99f6-7341
Apartemen Dijual di Bumi Serpong Damai,"Rp 2,10M","BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-7e02a7165368-6c61-19cb78d-8f6a-71b1
Apartemen Dijual di Menteng,Rp 250M,"RW 07, Menteng, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-ed5ea2df2b90-b252-19eaadd-a757-7475
Apartemen Dijual di Cakung,"Rp 1,30M","Jakarta Garden City, Cakung Timur, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-44a545f251fa-840-19c127b-b011-76d8
